A,GOOG/NYSE_A,Agilent Technologies,Precision Instrument,NYSE,3800
AA,GOOG/NYSE_AA,Alcoa Inc.,Metals & Mining (Div.),NYSE,1000
AAC,GOOG/NASDAQ_AAC,Australia Acquisition,Internet,NASDAQ,7370
AACC,GOOG/NASDAQ_AACC,Asset Acceptance Capital,Financial Svcs. (Div.),NASDAQ,6100
AAH.TO,YAHOO/TSX_AAH_TO,Aastra Technologies Ltd.,Telecom. Equipment,TSX,4811
AAME,GOOG/NASDAQ_AAME,Atlantic American Corp.,Financial Svcs. (Div.),NASDAQ,6100
AAN,GOOG/NYSE_AAN,Aaron's Inc.,Retail Store,NYSE,5300
AAON,GOOG/NASDAQ_AAON,Aaon,Electrical Equipment,NASDAQ,3600
AAP,GOOG/NYSE_AAP,Advance Auto Parts Inc,Auto Parts,NYSE,3716
AAPL,GOOG/NASDAQ_AAPL,Apple Inc.,Computer & Peripherals,NASDAQ,3573
AAWW,GOOG/NASDAQ_AAWW,Atlas Air Worldwide Holdings,Air Transport,NASDAQ,4510
AB,GOOG/NYSE_AB,Alliance Capital Management L.P.,Trucking/Transp. Leasing,NYSE,4200
ABAX,GOOG/NASDAQ_ABAX,Abaxis,Medical Supplies,NASDAQ,8060
ABB,GOOG/NYSE_ABB,Abb Ltd,Diversified Co.,NYSE,9913
ABBV,GOOG/NYSE_ABBV,AbbVie Inc.,Drug,NYSE,2834
ABC,GOOG/NYSE_ABC,Amerisourcebergen Corporation,Medical Supplies,NYSE,8060
ABCB,GOOG/NASDAQ_ABCB,Ameris Bancorp,Bank,NASDAQ,6000
ABCD,GOOG/NASDAQ_ABCD,Cambium Learning Group,Educational Services,NASDAQ,8299
ABCO,GOOG/NASDAQ_ABCO,The Advisory Board Company,Information Services,NASDAQ,8900
ABFS,GOOG/NASDAQ_ABFS,Arkansas Best Corp.,Trucking/Transp. Leasing,NASDAQ,4200
ABG,GOOG/NYSE_ABG,Asbury Automotive Group Inc,Auto & Truck,NYSE,3710
ABI,GOOG/AMEX_ABI,Safety First Trust,Precision Instrument,AMEX,3800
ABIO,GOOG/NASDAQ_ABIO,Arca Biopharma,Medical Supplies,NASDAQ,
ABM,GOOG/NYSE_ABM,Abm Industries Incorporated,Industrial Services,NYSE,7300
ABMD,GOOG/NASDAQ_ABMD,Abiomed,Medical Supplies,NASDAQ,8060
ABT,GOOG/NYSE_ABT,Abbott Laboratories,Medical Supplies,NYSE,8060
ABTL,GOOG/NASDAQ_ABTL,Autobytel Inc.,Internet,NASDAQ,7370
ABVA,GOOG/NASDAQ_ABVA,Alliance Bankshares Corp.,Bank,NASDAQ,6000
ABX,GOOG/NYSE_ABX,Barrick Gold Corp.,Gold/Silver Mining,NYSE,1041
ACAD,GOOG/NASDAQ_ACAD,Acadia Pharmaceuticals Inc.,Drug,NASDAQ,2834
ACAS,GOOG/NASDAQ_ACAS,American Capital,Financial Svcs. (Div.),NASDAQ,6100
ACAT,GOOG/NASDAQ_ACAT,Arctic Cat Inc.,Recreation,NASDAQ,7900
ACC,GOOG/NYSE_ACC,American Campus Communities Inc,R.E.I.T.,NYSE,6720
ACCL,GOOG/NASDAQ_ACCL,Accelrys,Telecom. Equipment,NASDAQ,4811
ACCO,GOOG/NYSE_ACCO,Acco Brands Corp.,Internet,NYSE,7370
ACE,GOOG/NYSE_ACE,Ace Limited,Insurance (Prop/Casualty,NYSE,6330
ACET,GOOG/NASDAQ_ACET,Aceto Corp.,Chemical (Diversified),NASDAQ,2813
ACFC,GOOG/NASDAQ_ACFC,Atlantic Coast Federal Corp.,Thrift,NASDAQ,6120
ACFN,GOOG/NASDAQ_ACFN,Acorn Energy,Computer Software/Svcs,NASDAQ,3579
ACG,GOOG/NYSE_ACG,Alliancebernstein Income Fund Inc,Investment Co.,NYSE,6730
ACGL,GOOG/NASDAQ_ACGL,Arch Capital Group Ltd,Insurance (Prop/Cas.),NASDAQ,
ACHC,GOOG/NASDAQ_ACHC,Acadia Healthcare Company Inc.,Medical Services,NASDAQ,8000
ACHN,GOOG/NASDAQ_ACHN,Achillion Pharmaceuticals,Drug,NASDAQ,2834
ACI,GOOG/NYSE_ACI,Arch Coal,Electric Util. (Central),NYSE,4912
ACIW,GOOG/NASDAQ_ACIW,Aci Worldwide,Computer Software/Svcs,NASDAQ,3579
ACLS,GOOG/NASDAQ_ACLS,Axcelis Technologies,Semiconductor,NASDAQ,3674
ACM,GOOG/NYSE_ACM,Aecom Technology Corp.,Industrial Services,NYSE,7300
ACMP,GOOG/NYSE_ACMP,Access Midstream Partners L.P.,Pipeline MLPs,NYSE,4619
ACN,GOOG/NYSE_ACN,Accenture Plc.,Computer Software & Svcs,NYSE,3579
