Ticker,Stock Name,Price Code,Ratios Code,In Market?
A,Agilent Technologies,GOOG/NYSE_A,DMDRN/A_ALLFINANCIALRATIOS,Active
AA,Alcoa Inc.,GOOG/NYSE_AA,DMDRN/AA_ALLFINANCIALRATIOS,Active
AACC,Asset Acceptance Capital,GOOG/NASDAQ_AACC,DMDRN/AACC_ALLFINANCIALRATIOS,Active
AADI,American Asset Development In,GOOG/PINK_AADI,DMDRN/AADI_ALLFINANCIALRATIOS,Active
AAH.TO,Aastra Technologies Ltd.,YAHOO/TSX_AAH_TO,DMDRN/AAH_TO_ALLFINANCIALRATIOS,Active
AAIIQ,aaiPharma Inc,GOOG/PINK_AAIIQ,DMDRN/AAIIQ_ALLFINANCIALRATIOS,Active
AAIR,Avantair Inc,GOOG/PINK_AAIR,DMDRN/AAIR_ALLFINANCIALRATIOS,Active
AAME,Atlantic American Corp.,GOOG/NASDAQ_AAME,DMDRN/AAME_ALLFINANCIALRATIOS,Active
AAMRQ,AMR Corp.,GOOG/PINK_AAMRQ,DMDRN/AAMRQ_ALLFINANCIALRATIOS,Active
AAMUQ,American Ammunition Inc.,GOOG/PINK_AAMUQ,DMDRN/AAMUQ_ALLFINANCIALRATIOS,Active
AAN,Aaron's Inc.,GOOG/NYSE_AAN,DMDRN/AAN_ALLFINANCIALRATIOS,Active
AAON,Aaon,GOOG/NASDAQ_AAON,DMDRN/AAON_ALLFINANCIALRATIOS,Active
AAP,Advance Auto Parts Inc,GOOG/NYSE_AAP,DMDRN/AAP_ALLFINANCIALRATIOS,Active
AAPH,American Petro-Hunter Inc.,GOOG/PINK_AAPH,DMDRN/AAPH_ALLFINANCIALRATIOS,Active
AAPL,Apple Inc.,GOOG/NASDAQ_AAPL,DMDRN/AAPL_ALLFINANCIALRATIOS,Active
AASL,America's Suppliers Inc,GOOG/PINK_AASL,DMDRN/AASL_ALLFINANCIALRATIOS,Active
AASP,All-American Sportpark Inc,GOOG/PINK_AASP,DMDRN/AASP_ALLFINANCIALRATIOS,Active
AAVG,AvStar Aviation Group Inc,GOOG/PINK_AAVG,DMDRN/AAVG_ALLFINANCIALRATIOS,Active
AAWW,Atlas Air Worldwide Holdings,GOOG/NASDAQ_AAWW,DMDRN/AAWW_ALLFINANCIALRATIOS,Active
AB,Alliance Capital Management L.P.,GOOG/NYSE_AB,DMDRN/AB_ALLFINANCIALRATIOS,Active
ABAT,Advanced Battery Technologies,GOOG/PINK_ABAT,DMDRN/ABAT_ALLFINANCIALRATIOS,Active
ABAX,Abaxis,GOOG/NASDAQ_ABAX,DMDRN/ABAX_ALLFINANCIALRATIOS,Active
ABB,Abb Ltd,GOOG/NYSE_ABB,DMDRN/ABB_ALLFINANCIALRATIOS,Active
ABBV,AbbVie Inc.,GOOG/NYSE_ABBV,DMDRN/ABBV_ALLFINANCIALRATIOS,Active
ABC,Amerisourcebergen Corporation,GOOG/NYSE_ABC,DMDRN/ABC_ALLFINANCIALRATIOS,Active
ABCB,Ameris Bancorp,GOOG/NASDAQ_ABCB,DMDRN/ABCB_ALLFINANCIALRATIOS,Active
ABCD,Cambium Learning Group,GOOG/NASDAQ_ABCD,DMDRN/ABCD_ALLFINANCIALRATIOS,Active
ABCO,The Advisory Board Company,GOOG/NASDAQ_ABCO,DMDRN/ABCO_ALLFINANCIALRATIOS,Active
ABCP,Ambase Corp,GOOG/PINK_ABCP,DMDRN/ABCP_ALLFINANCIALRATIOS,Active
ABCW,Anchor BanCorp WI,GOOG/PINK_ABCW,DMDRN/ABCW_ALLFINANCIALRATIOS,Active
ABFS,Arkansas Best Corp.,GOOG/NASDAQ_ABFS,DMDRN/ABFS_ALLFINANCIALRATIOS,Active
ABG,Asbury Automotive Group Inc,GOOG/NYSE_ABG,DMDRN/ABG_ALLFINANCIALRATIOS,Active
ABIO,Arca Biopharma,GOOG/NASDAQ_ABIO,DMDRN/ABIO_ALLFINANCIALRATIOS,Active
ABIX,Abatix Corp,GOOG/PINK_ABIX,DMDRN/ABIX_ALLFINANCIALRATIOS,Active
ABKFQ,Ambac Fin'l Group,GOOG/PINK_ABKFQ,DMDRN/ABKFQ_ALLFINANCIALRATIOS,Active
ABLE,Able Energy Inc,GOOG/PINK_ABLE,DMDRN/ABLE_ALLFINANCIALRATIOS,Active
ABM,Abm Industries Incorporated,GOOG/NYSE_ABM,DMDRN/ABM_ALLFINANCIALRATIOS,Active
ABMC,American Bio Medica Corp,GOOG/PINK_ABMC,DMDRN/ABMC_ALLFINANCIALRATIOS,Active
ABMD,Abiomed,GOOG/NASDAQ_ABMD,DMDRN/ABMD_ALLFINANCIALRATIOS,Active
ABO/B.TO,Arbor Memorial Services Inc,NA,DMDRN/ABO_B_TO_ALLFINANCIALRATIOS,Active
ABOA.TO,Arbor Mem Svcs Inc.,NA,DMDRN/ABOA_TO_ALLFINANCIALRATIOS,Active
ABPI,Accents Biopharmaceuticals,GOOG/PINK_ABPI,DMDRN/ABPI_ALLFINANCIALRATIOS,Active
ABT,Abbott Laboratories,GOOG/NYSE_ABT,DMDRN/ABT_ALLFINANCIALRATIOS,Active
ABTL,Autobytel Inc.,GOOG/NASDAQ_ABTL,DMDRN/ABTL_ALLFINANCIALRATIOS,Active
ABVA,Alliance Bankshares Corp.,GOOG/NASDAQ_ABVA,DMDRN/ABVA_ALLFINANCIALRATIOS,Active
ABX,Barrick Gold Corp.,GOOG/NYSE_ABX,DMDRN/ABX_ALLFINANCIALRATIOS,Active
ACAD,Acadia Pharmaceuticals Inc.,GOOG/NASDAQ_ACAD,DMDRN/ACAD_ALLFINANCIALRATIOS,Active
ACAS,American Capital,GOOG/NASDAQ_ACAS,DMDRN/ACAS_ALLFINANCIALRATIOS,Active
ACAT,Arctic Cat Inc.,GOOG/NASDAQ_ACAT,DMDRN/ACAT_ALLFINANCIALRATIOS,Active
ACC,American Campus Communities Inc,GOOG/NYSE_ACC,DMDRN/ACC_ALLFINANCIALRATIOS,Active
ACCL,Accelrys,GOOG/NASDAQ_ACCL,DMDRN/ACCL_ALLFINANCIALRATIOS,Active
ACCO,Acco Brands Corp.,GOOG/NYSE_ACCO,DMDRN/ACCO_ALLFINANCIALRATIOS,Active
ACCP,Access Pharmaceuticals Inc,GOOG/PINK_ACCP,DMDRN/ACCP_ALLFINANCIALRATIOS,Active
ACE,Ace Limited,GOOG/NYSE_ACE,DMDRN/ACE_ALLFINANCIALRATIOS,Active
ACEL,Alfacell Corp,GOOG/PINK_ACEL,DMDRN/ACEL_ALLFINANCIALRATIOS,Active
ACET,Aceto Corp.,GOOG/NASDAQ_ACET,DMDRN/ACET_ALLFINANCIALRATIOS,Active
ACFC,Atlantic Coast Federal Corp.,GOOG/NASDAQ_ACFC,DMDRN/ACFC_ALLFINANCIALRATIOS,Active
ACFN,Acorn Energy,GOOG/NASDAQ_ACFN,DMDRN/ACFN_ALLFINANCIALRATIOS,Active
ACG,Alliancebernstein Income Fund Inc,GOOG/NYSE_ACG,DMDRN/ACG_ALLFINANCIALRATIOS,Active
ACGI,Amacore Group Inc,GOOG/PINK_ACGI,DMDRN/ACGI_ALLFINANCIALRATIOS,Active
ACGL,Arch Capital Group Ltd,GOOG/NASDAQ_ACGL,DMDRN/ACGL_ALLFINANCIALRATIOS,Active
ACHC,Acadia Healthcare Company Inc.,GOOG/NASDAQ_ACHC,DMDRN/ACHC_ALLFINANCIALRATIOS,Active
ACHN,Achillion Pharmaceuticals,GOOG/NASDAQ_ACHN,DMDRN/ACHN_ALLFINANCIALRATIOS,Active
ACI,Arch Coal,GOOG/NYSE_ACI,DMDRN/ACI_ALLFINANCIALRATIOS,Active
ACIW,Aci Worldwide,GOOG/NASDAQ_ACIW,DMDRN/ACIW_ALLFINANCIALRATIOS,Active
ACLP,AccelPath Inc,GOOG/PINK_ACLP,DMDRN/ACLP_ALLFINANCIALRATIOS,Active
ACLS,Axcelis Technologies,GOOG/NASDAQ_ACLS,DMDRN/ACLS_ALLFINANCIALRATIOS,Active
ACM,Aecom Technology Corp.,GOOG/NYSE_ACM,DMDRN/ACM_ALLFINANCIALRATIOS,Active
ACM/A.TO,Astral Media Inc. 'A',NA,DMDRN/ACM_A_TO_ALLFINANCIALRATIOS,Active
ACME,Acme Communications Inc,GOOG/PINK_ACME,DMDRN/ACME_ALLFINANCIALRATIOS,Active
ACMP,Access Midstream Partners L.P.,GOOG/NYSE_ACMP,DMDRN/ACMP_ALLFINANCIALRATIOS,Active
ACN,Accenture Plc.,GOOG/NYSE_ACN,DMDRN/ACN_ALLFINANCIALRATIOS,Active
ACNB,Acnb Corp.,GOOG/NASDAQ_ACNB,DMDRN/ACNB_ALLFINANCIALRATIOS,Active
ACNI,American Community Newspapers,GOOG/PINK_ACNI,DMDRN/ACNI_ALLFINANCIALRATIOS,Active
ACO,Amcol International Corp.,GOOG/NYSE_ACO,DMDRN/ACO_ALLFINANCIALRATIOS,Active
ACOM,Ancestry.Com,GOOG/NASDAQ_ACOM,DMDRN/ACOM_ALLFINANCIALRATIOS,Active
ACOR,Acorda Therapeutics,GOOG/NASDAQ_ACOR,DMDRN/ACOR_ALLFINANCIALRATIOS,Active
ACOY.TO,Atco Ltd,NA,DMDRN/ACOY_TO_ALLFINANCIALRATIOS,Active
ACPW,Active Power,GOOG/NASDAQ_ACPW,DMDRN/ACPW_ALLFINANCIALRATIOS,Active
ACRX,Acelrx Pharmaceuticals,GOOG/NASDAQ_ACRX,DMDRN/ACRX_ALLFINANCIALRATIOS,Active
ACSEF,ACS-Tech80 Ltd,GOOG/PINK_ACSEF,DMDRN/ACSEF_ALLFINANCIALRATIOS,Active
ACTG,Acacia Research Corp.,GOOG/NASDAQ_ACTG,DMDRN/ACTG_ALLFINANCIALRATIOS,Active
ACTS,Actions Semiconductor Co.,GOOG/NASDAQ_ACTS,DMDRN/ACTS_ALLFINANCIALRATIOS,Active
ACTT,ACT Teleconferencing,GOOG/PINK_ACTT,DMDRN/ACTT_ALLFINANCIALRATIOS,Active
ACTV,Active Network Inc,GOOG/NYSE_ACTV,DMDRN/ACTV_ALLFINANCIALRATIOS,Active
ACU,Acme United Corporation.,GOOG/AMEX_ACU,DMDRN/ACU_ALLFINANCIALRATIOS,Active
ACUR,Acura Pharmaceuticals,GOOG/NASDAQ_ACUR,DMDRN/ACUR_ALLFINANCIALRATIOS,Active
ACUSD,Acusphere Inc,GOOG/PINK_ACUSD,DMDRN/ACUSD_ALLFINANCIALRATIOS,Active
ACW,Accuride Corporation New,GOOG/NYSE_ACW,DMDRN/ACW_ALLFINANCIALRATIOS,Active
ACXM,Acxiom Corp.,GOOG/NASDAQ_ACXM,DMDRN/ACXM_ALLFINANCIALRATIOS,Active
ACY,Aerocentury,GOOG/AMEX_ACY,DMDRN/ACY_ALLFINANCIALRATIOS,Active
ADAT,Authentidate Holding,GOOG/NASDAQ_ADAT,DMDRN/ADAT_ALLFINANCIALRATIOS,Active
ADBE,Adobe Systems Incorporated,GOOG/NASDAQ_ADBE,DMDRN/ADBE_ALLFINANCIALRATIOS,Active
ADC,Agree Realty Corp.,GOOG/NYSE_ADC,DMDRN/ADC_ALLFINANCIALRATIOS,Active
ADEP,Adept Technology,GOOG/NASDAQ_ADEP,DMDRN/ADEP_ALLFINANCIALRATIOS,Active
ADES,Ada-Es,GOOG/NASDAQ_ADES,DMDRN/ADES_ALLFINANCIALRATIOS,Active
ADFS,American Defense Systems Inc.,GOOG/PINK_ADFS,DMDRN/ADFS_ALLFINANCIALRATIOS,Active
ADGE,American Dg Energy Inc.,GOOG/AMEX_ADGE,DMDRN/ADGE_ALLFINANCIALRATIOS,Active
ADI,Analog Devices,GOOG/NASDAQ_ADI,DMDRN/ADI_ALLFINANCIALRATIOS,Active
ADK,Adcare Health Systems Inc,GOOG/AMEX_ADK,DMDRN/ADK_ALLFINANCIALRATIOS,Active
ADLI,American Dental Tech.,GOOG/PINK_ADLI,DMDRN/ADLI_ALLFINANCIALRATIOS,Active
ADLS,Advanced Life Sciences Hldgs,GOOG/PINK_ADLS,DMDRN/ADLS_ALLFINANCIALRATIOS,Active
ADM,Archer-Daniels-Midland Company,GOOG/NYSE_ADM,DMDRN/ADM_ALLFINANCIALRATIOS,Active
ADMP,Adamis Pharmaceuticals Corp,GOOG/PINK_ADMP,DMDRN/ADMP_ALLFINANCIALRATIOS,Active
ADMT,Adm Tronics Unlimited Inc,GOOG/PINK_ADMT,DMDRN/ADMT_ALLFINANCIALRATIOS,Active
ADNC,Audience Inc.,GOOG/NASDAQ_ADNC,DMDRN/ADNC_ALLFINANCIALRATIOS,Active
ADNT,Ardent Mines Limited,GOOG/PINK_ADNT,DMDRN/ADNT_ALLFINANCIALRATIOS,Active
ADNY,Adino Energy Corp,GOOG/PINK_ADNY,DMDRN/ADNY_ALLFINANCIALRATIOS,Active
ADP,Automatic Data Processing,GOOG/NASDAQ_ADP,DMDRN/ADP_ALLFINANCIALRATIOS,Active
ADS,Alliance Data Systems Corp.,GOOG/NYSE_ADS,DMDRN/ADS_ALLFINANCIALRATIOS,Active
ADSK,Autodesk,GOOG/NASDAQ_ADSK,DMDRN/ADSK_ALLFINANCIALRATIOS,Active
ADST,AdStar.com Inc.,GOOG/PINK_ADST,DMDRN/ADST_ALLFINANCIALRATIOS,Active
ADSV,Allied Security Innovations,GOOG/PINK_ADSV,DMDRN/ADSV_ALLFINANCIALRATIOS,Active
ADT,ADT Corp. (The),GOOG/NYSE_ADT,DMDRN/ADT_ALLFINANCIALRATIOS,Active
ADTN,Adtran,GOOG/NASDAQ_ADTN,DMDRN/ADTN_ALLFINANCIALRATIOS,Active
ADUS,Addus Homecare Corp.,GOOG/NASDAQ_ADUS,DMDRN/ADUS_ALLFINANCIALRATIOS,Active
ADVC,Advant-E Corporation,GOOG/PINK_ADVC,DMDRN/ADVC_ALLFINANCIALRATIOS,Active
